"Team (2025) (e21)","GP (2025) (e21)","Z-Score Ranking  (Calculated)","EPA/Play (Custom) (8a0)","Success Rate (Custom) (8a0)","Yards / Play  (Calculated)","Wins (2025) (e21)","Points / GP  (Calculated)","Plays (2025) (e21)","YDs (2025) (e21)","Def TOs / GP  (Calculated)","Penalty Yards / GP  (Calculated)","Points Against Def / GP  (Calculated)","TOs / GP  (Calculated)"
"Buffalo Bills",17,,0.141,"48.30%",5.912199630314233,12,28.294117647058822,1082,6397,1.1764705882352942,49.88235294117647,21.470588235294116,1.1176470588235294
"New York Jets",17,,-0.091,"42.10%",4.436633663366337,3,17.647058823529413,1010,4481,0.23529411764705882,53.470588235294116,29.235294117647058,1.3529411764705883
"Detroit Lions",17,,0.101,"46.20%",5.968015051740357,9,28.294117647058822,1063,6344,1.1176470588235294,42.23529411764706,24.176470588235293,0.8823529411764706
"Green Bay Packers",17,,0.159,"48.80%",5.598019801980198,9,23,1010,5654,0.8235294117647058,48.11764705882353,21.058823529411764,0.7647058823529411
"Carolina Panthers",17,,-0.013,"44.60%",4.970326409495549,8,18.294117647058822,1011,5025,1.2352941176470589,44.8235294117647,22,1.3529411764705883
"Tennessee Titans",17,,-0.172,"37.50%",4.395418326693227,3,16.705882352941178,1004,4413,0.8235294117647058,59.470588235294116,26.705882352941178,1.1176470588235294
"Chicago Bears",17,,0.062,"45.50%",5.695376246600182,11,25.941176470588236,1103,6282,1.9411764705882353,57.05882352941177,24.058823529411764,0.6470588235294118
"Los Angeles Rams",17,,0.152,"53.20%",6.177716390423573,12,30.470588235294116,1086,6709,1.5294117647058822,33.705882352941174,19.647058823529413,0.8823529411764706
"Miami Dolphins",17,,-0.002,"42.70%",5.386722866174921,7,20.41176470588235,949,5112,1.1764705882352942,47.705882352941174,24.470588235294116,1.411764705882353
"New Orleans Saints",17,,-0.112,"42.30%",4.959069767441861,6,18,1075,5331,1.1764705882352942,54.11764705882353,21.823529411764707,1.411764705882353
"Washington Commanders",17,,0.028,"46.50%",5.473737373737373,5,20.941176470588236,990,5419,0.5882352941176471,53.705882352941174,26.176470588235293,1.3529411764705883
"Tampa Bay Buccaneers",17,,-0.013,"42.10%",5.100187265917603,8,22.352941176470587,1068,5447,1.3529411764705883,43.35294117647059,23.823529411764707,0.9411764705882353
"Jacksonville Jaguars",17,,0.002,"44.20%",5.247026532479414,13,27.88235294117647,1093,5735,1.8235294117647058,63.529411764705884,19.058823529411764,1.0588235294117647
"Baltimore Ravens",17,,-0.011,"43.80%",5.797741273100616,8,24.941176470588236,974,5647,1.1764705882352942,43.88235294117647,23.058823529411764,1.3529411764705883
"Minnesota Vikings",17,,-0.116,"42.90%",4.90041928721174,9,20.235294117647058,954,4675,1.2352941176470589,52.11764705882353,18.176470588235293,1.7647058823529411
"Dallas Cowboys",17,,0.116,"47.20%",5.949107142857143,7,27.705882352941178,1120,6663,0.7058823529411765,66.82352941176471,29.941176470588236,1.2352941176470589
"Las Vegas Raiders",17,,-0.167,"40.40%",4.39662447257384,3,14.176470588235293,948,4168,0.9411764705882353,53,24.941176470588236,1.3529411764705883
"Kansas City Chiefs",17,,0.115,"47.20%",5.13760603204524,6,21.294117647058822,1061,5451,0.8235294117647058,55.94117647058823,18.705882352941178,0.8823529411764706
"Denver Broncos",17,,0.039,"43.10%",5.334249084249084,14,23.58823529411765,1092,5825,0.8235294117647058,67.58823529411765,18.176470588235293,1
"New England Patriots",17,,0.107,"45.80%",6.1772030651340994,14,28.823529411764707,1044,6449,1.1176470588235294,50.23529411764706,18.823529411764707,0.9411764705882353
"New York Giants",17,,0.042,"42.90%",5.224884792626728,4,22.41176470588235,1085,5669,0.8823529411764706,63.23529411764706,25.470588235294116,1
"Pittsburgh Steelers",17,,0.018,"44.10%",5.2591093117408905,10,23.352941176470587,988,5196,1.588235294117647,47.23529411764706,22.294117647058822,0.8823529411764706
"Arizona Cardinals",17,,-0.02,"43.40%",5.156424581005586,3,20.88235294117647,1074,5538,1.1176470588235294,49.529411764705884,28,1.2352941176470589
"Seattle Seahawks",17,,0.048,"46.80%",5.8847290640394085,14,28.41176470588235,1015,5973,1.4705882352941178,46.64705882352941,16.823529411764707,1.6470588235294117
"Houston Texans",17,,-0.016,"41.30%",5.109375,12,23.764705882352942,1088,5559,1.7058823529411764,58.1764705882353,17.352941176470587,0.7058823529411765
"Cleveland Browns",17,,-0.163,"35.10%",4.327184466019418,5,16.41176470588235,1030,4457,1.0588235294117647,49.411764705882355,21.823529411764707,1.4705882352941178
"Cincinnati Bengals",17,,-0.004,"45.00%",5.294228949858089,6,24.352941176470587,1057,5596,1.2352941176470589,37.23529411764706,26,1.411764705882353
"Indianapolis Colts",17,,0.128,"48.30%",5.7760314341846755,8,27.41176470588235,1018,5880,1.2352941176470589,51.1764705882353,23.41176470588235,1.3529411764705883
"Atlanta Falcons",17,,-0.024,"45.20%",5.401717557251908,8,20.764705882352942,1048,5661,1.3529411764705883,48.1764705882353,22.88235294117647,1.0588235294117647
"San Francisco 49ers",17,,0.059,"48.10%",5.521256931608133,12,25.705882352941178,1082,5974,0.9411764705882353,38.294117647058826,21.352941176470587,1.2941176470588236
"Los Angeles Chargers",17,,0.016,"45.10%",5.1826484018264845,11,21.647058823529413,1095,5675,1.3529411764705883,46.294117647058826,19.294117647058822,1.2352941176470589
"Philadelphia Eagles",17,,0.034,"42.80%",5.238613861386138,11,22.294117647058822,1010,5291,1.2352941176470589,63.11764705882353,19,0.8823529411764706
